player_id,player_name,driver_rank,driver_avg,driver_pct_rank,driver_pct,prox_rank,prox_feet,pct_purse_won,purse_won,purse_avail
49771,J.T. Poston,155,295.6,26,66.20%,113,37.4,0.0082,3233502,396700000
47993,Denny McCarthy,156,295.3,89,60.80%,107,37.3,0.0104,3871251,372700000
36884,Ben Kohles,157,295.2,4,73.10%,2,33.8,0.0029,658427,225600000
30163,Henrik Norlander,157,295.2,43,64.30%,78,36.8,0.0043,1015479,235900000
51890,Greyson Sigg,157,295.2,33,65.40%,12,34.8,0.0035,777250,221100000
25493,Nick Taylor,157,295.2,24,66.60%,85,36.8,0.0131,5431209,413700000
52513,Carson Young,161,294.8,19,67.30%,40,35.9,0.0049,1060007,216700000
51349,Nico Echavarria,162,294.7,40,64.50%,45,36.2,0.0086,2891343,334400000
27644,Brian Harman,163,294.6,54,63.30%,78,36.8,0.0134,5547660,414400000
36326,David Lipsky,164,293.6,36,65.30%,62,36.5,0.0058,1411093,242900000
25900,Lucas Glover,165,292.3,14,68.40%,8,34.2,0.0124,4397743,354200000
47917,Takumi Kanaya,166,292.1,1,74.10%,128,37.7,0.0058,1463762,253000000
29535,Brice Garnett,167,291.2,8,69.40%,45,36.2,0.003,631678,209100000
59160,John Pak,168,290.4,17,67.70%,39,35.8,0.0032,622055,191500000
45522,Christiaan Bezuidenhout,169,290,32,65.50%,101,37.3,0.0065,2434490,372100000
27770,Camilo Villegas,169,290,170,53.20%,97,37.2,0.0032,733788,227900000
46414,Aaron Rai,171,289.6,2,73.90%,121,37.6,0.0095,3274601,345200000
34098,Russell Henley,172,289.1,12,68.70%,3,33.8,0.04,14707570,367400000
40058,Zac Blair,173,287.1,15,68.20%,24,35.2,0.0041,663124,160000000
33199,Matteo Manassero,174,286,100,60.10%,165,39.1,0.0041,617348,151100000
24024,Zach Johnson,175,285.6,9,69.20%,14,34.8,0.0055,918478,168400000
27649,Brandt Snedeker,176,284.2,10,69.00%,85,36.8,0.0058,1192940,204500000
23108,Matt Kuchar,177,282.2,28,66.00%,18,35,0.007,1310380,186500000
36824,Paul Peterson,178,281.7,3,73.20%,3,33.8,0.0044,848337,191200000
34256,Andrew Putnam,179,280.5,5,71.80%,62,36.5,0.0059,1371617,234400000
46443,Brian Campbell,180,278.4,21,66.80%,121,37.6,0.0101,3370767,334200000
